Date,Year,Month,Day,Weekday,Product_Category,Region,Sales_Amount,Units_Sold,Promotion_Active,Holiday,Weekend,Month_End
2021-01-02,2021,1,2,5,Clothing,East,437.21,8,True,False,True,False
2021-01-02,2021,1,2,5,Clothing,West,433.13,7,True,False,True,False
2021-01-02,2021,1,2,5,Home & Garden,North,301.97,3,False,False,True,False
2021-01-02,2021,1,2,5,Home & Garden,South,414.18,5,False,False,True,False
2021-01-02,2021,1,2,5,Home & Garden,East,356.93,3,False,False,True,False
2021-01-02,2021,1,2,5,Home & Garden,West,344.48,5,False,False,True,False
2021-01-02,2021,1,2,5,Sports & Outdoors,North,298.95,3,False,False,True,False
2021-01-02,2021,1,2,5,Sports & Outdoors,South,405.85,7,False,False,True,False
2021-01-02,2021,1,2,5,Sports & Outdoors,East,369.74,6,False,False,True,False
2021-01-02,2021,1,2,5,Sports & Outdoors,West,367.98,5,False,False,True,False
2021-01-02,2021,1,2,5,Books,North,325.56,18,False,False,True,False
2021-01-02,2021,1,2,5,Books,South,425.81,22,False,False,True,False
2021-01-02,2021,1,2,5,Books,East,376.9,17,False,False,True,False
2021-01-02,2021,1,2,5,Books,West,382.57,17,False,False,True,False
2021-01-03,2021,1,3,6,Electronics,North,322.71,0,False,False,True,False
2021-01-03,2021,1,3,6,Electronics,South,526.81,1,True,False,True,False
2021-01-03,2021,1,3,6,Electronics,East,358.77,0,False,False,True,False
2021-01-03,2021,1,3,6,Electronics,West,341.03,0,False,False,True,False
2021-01-03,2021,1,3,6,Clothing,North,387.47,7,True,False,True,False
2021-01-03,2021,1,3,6,Clothing,South,426.14,8,False,False,True,False
2021-01-03,2021,1,3,6,Clothing,East,443.01,8,True,False,True,False
2021-01-03,2021,1,3,6,Clothing,West,347.6,6,False,False,True,False
2021-01-03,2021,1,3,6,Home & Garden,North,306.38,3,False,False,True,False
2021-01-03,2021,1,3,6,Home & Garden,South,401.31,5,False,False,True,False
2021-01-03,2021,1,3,6,Home & Garden,East,337.8,5,False,False,True,False
2021-01-03,2021,1,3,6,Home & Garden,West,343.2,5,False,False,True,False
2021-01-03,2021,1,3,6,Sports & Outdoors,North,324.48,6,False,False,True,False
2021-01-03,2021,1,3,6,Sports & Outdoors,South,401.39,5,False,False,True,False
2021-01-03,2021,1,3,6,Sports & Outdoors,East,354.3,6,False,False,True,False
2021-01-03,2021,1,3,6,Sports & Outdoors,West,369.67,7,False,False,True,False
2021-01-03,2021,1,3,6,Books,North,328.53,14,False,False,True,False
2021-01-03,2021,1,3,6,Books,South,426.24,20,False,False,True,False
2021-01-03,2021,1,3,6,Books,East,392.64,15,False,False,True,False
2021-01-03,2021,1,3,6,Books,West,391.96,19,False,False,True,False
2021-01-04,2021,1,4,0,Electronics,North,206.37,0,False,False,False,False
2021-01-04,2021,1,4,0,Electronics,South,276.72,0,False,False,False,False
2021-01-04,2021,1,4,0,Electronics,East,250.34,0,False,False,False,False
2021-01-04,2021,1,4,0,Electronics,West,257.47,0,False,False,False,False
2021-01-04,2021,1,4,0,Clothing,North,225.35,5,False,False,False,False
2021-01-04,2021,1,4,0,Clothing,South,282.11,5,False,False,False,False
2021-01-04,2021,1,4,0,Clothing,East,228.57,4,False,False,False,False
2021-01-04,2021,1,4,0,Clothing,West,315.61,5,True,False,False,False
2021-01-04,2021,1,4,0,Home & Garden,North,222.44,2,False,False,False,False
2021-01-04,2021,1,4,0,Home & Garden,South,317.02,3,False,False,False,False
2021-01-04,2021,1,4,0,Home & Garden,East,249.59,2,False,False,False,False
2021-01-04,2021,1,4,0,Home & Garden,West,255.81,3,False,False,False,False
2021-01-04,2021,1,4,0,Sports & Outdoors,North,234.94,3,False,False,False,False
2021-01-04,2021,1,4,0,Sports & Outdoors,South,293.49,5,False,False,False,False
2021-01-04,2021,1,4,0,Sports & Outdoors,East,270.26,4,False,False,False,False
2021-01-04,2021,1,4,0,Sports & Outdoors,West,234.85,3,False,False,False,False
2021-01-04,2021,1,4,0,Books,North,231.61,9,False,False,False,False
2021-01-04,2021,1,4,0,Books,South,301.35,15,False,False,False,False
2021-01-04,2021,1,4,0,Books,East,255.44,13,False,False,False,False
2021-01-04,2021,1,4,0,Books,West,277.86,12,False,False,False,False
2021-01-05,2021,1,5,1,Electronics,North,212.44,0,False,False,False,False
2021-01-05,2021,1,5,1,Electronics,South,305.37,0,False,False,False,False
2021-01-05,2021,1,5,1,Electronics,East,243.13,0,False,False,False,False
2021-01-05,2021,1,5,1,Electronics,West,248.96,0,False,False,False,False
2021-01-05,2021,1,5,1,Clothing,North,232.24,5,False,False,False,False
2021-01-05,2021,1,5,1,Clothing,South,266.55,5,False,False,False,False
2021-01-05,2021,1,5,1,Clothing,East,233.21,3,False,False,False,False
2021-01-05,2021,1,5,1,Clothing,West,255.93,5,False,False,False,False
2021-01-05,2021,1,5,1,Home & Garden,North,281.44,3,True,False,False,False
2021-01-05,2021,1,5,1,Home & Garden,South,367.43,4,True,False,False,False
2021-01-05,2021,1,5,1,Home & Garden,East,323.96,4,True,False,False,False
2021-01-05,2021,1,5,1,Home & Garden,West,256.33,3,False,False,False,False
2021-01-05,2021,1,5,1,Sports & Outdoors,North,215.28,3,False,False,False,False
2021-01-05,2021,1,5,1,Sports & Outdoors,South,286.94,5,False,False,False,False
2021-01-05,2021,1,5,1,Sports & Outdoors,East,321.2,4,True,False,False,False
2021-01-05,2021,1,5,1,Sports & Outdoors,West,244.21,3,False,False,False,False
2021-01-05,2021,1,5,1,Books,North,266.93,14,False,False,False,False
2021-01-05,2021,1,5,1,Books,South,318.1,14,False,False,False,False
2021-01-05,2021,1,5,1,Books,East,263.93,12,False,False,False,False
2021-01-05,2021,1,5,1,Books,West,288.37,15,False,False,False,False
2021-01-06,2021,1,6,2,Electronics,North,292.52,0,True,False,False,False
2021-01-06,2021,1,6,2,Electronics,South,290.01,0,False,False,False,False
2021-01-06,2021,1,6,2,Electronics,East,250.59,0,False,False,False,False
2021-01-06,2021,1,6,2,Electronics,West,244.14,0,False,False,False,False
2021-01-06,2021,1,6,2,Clothing,North,222.98,5,False,False,False,False
2021-01-06,2021,1,6,2,Clothing,South,289.75,6,False,False,False,False
2021-01-06,2021,1,6,2,Clothing,East,318.16,6,True,False,False,False
2021-01-06,2021,1,6,2,Clothing,West,272.85,5,False,False,False,False
2021-01-06,2021,1,6,2,Home & Garden,North,229.73,2,False,False,False,False
2021-01-06,2021,1,6,2,Home & Garden,South,271.37,2,False,False,False,False
2021-01-06,2021,1,6,2,Home & Garden,East,239.59,3,False,False,False,False
2021-01-06,2021,1,6,2,Home & Garden,West,259.25,4,False,False,False,False
2021-01-06,2021,1,6,2,Sports & Outdoors,North,220.98,2,False,False,False,False
2021-01-06,2021,1,6,2,Sports & Outdoors,South,294.58,5,False,False,False,False
2021-01-06,2021,1,6,2,Sports & Outdoors,East,259.96,5,False,False,False,False
2021-01-06,2021,1,6,2,Sports & Outdoors,West,253.03,4,False,False,False,False
2021-01-06,2021,1,6,2,Books,North,234.27,13,False,False,False,False
2021-01-06,2021,1,6,2,Books,South,287.77,13,False,False,False,False
2021-01-06,2021,1,6,2,Books,East,280.97,16,False,False,False,False
2021-01-06,2021,1,6,2,Books,West,260.67,14,False,False,False,False
2021-01-07,2021,1,7,3,Electronics,North,213.95,0,False,False,False,False
2021-01-07,2021,1,7,3,Electronics,South,287.08,0,False,False,False,False
2021-01-07,2021,1,7,3,Electronics,East,255.11,0,False,False,False,False
2021-01-07,2021,1,7,3,Electronics,West,239.83,0,False,False,False,False
2021-01-07,2021,1,7,3,Clothing,North,295.85,5,True,False,False,False
2021-01-07,2021,1,7,3,Clothing,South,300.81,5,False,False,False,False
2021-01-07,2021,1,7,3,Clothing,East,327.13,7,True,False,False,False
2021-01-07,2021,1,7,3,Clothing,West,261.69,6,False,False,False,False
2021-01-07,2021,1,7,3,Home & Garden,North,229.01,3,False,False,False,False
2021-01-07,2021,1,7,3,Home & Garden,South,338.89,4,False,False,False,False
2021-01-07,2021,1,7,3,Home & Garden,East,265.81,4,False,False,False,False
2021-01-07,2021,1,7,3,Home & Garden,West,327.46,4,True,False,False,False
2021-01-07,2021,1,7,3,Sports & Outdoors,North,215.44,3,False,False,False,False
2021-01-07,2021,1,7,3,Sports & Outdoors,South,281.83,3,False,False,False,False
2021-01-07,2021,1,7,3,Sports & Outdoors,East,355.16,5,True,False,False,False
2021-01-07,2021,1,7,3,Sports & Outdoors,West,230.88,3,False,False,False,False
2021-01-07,2021,1,7,3,Books,North,299.16,12,True,False,False,False
2021-01-07,2021,1,7,3,Books,South,328.94,16,False,False,False,False
2021-01-07,2021,1,7,3,Books,East,268.57,14,False,False,False,False
2021-01-07,2021,1,7,3,Books,West,359.99,15,True,False,False,False
2021-01-08,2021,1,8,4,Electronics,North,224.94,0,False,False,False,False
2021-01-08,2021,1,8,4,Electronics,South,276.33,0,False,False,False,False
2021-01-08,2021,1,8,4,Electronics,East,229.21,0,False,False,False,False
2021-01-08,2021,1,8,4,Electronics,West,257.41,0,False,False,False,False
2021-01-08,2021,1,8,4,Clothing,North,216.27,3,False,False,False,False
2021-01-08,2021,1,8,4,Clothing,South,284.97,6,False,False,False,False
2021-01-08,2021,1,8,4,Clothing,East,262.37,5,False,False,False,False
2021-01-08,2021,1,8,4,Clothing,West,266.98,4,False,False,False,False
2021-01-08,2021,1,8,4,Home & Garden,North,218.44,2,False,False,False,False
2021-01-08,2021,1,8,4,Home & Garden,South,275.48,3,False,False,False,False
2021-01-08,2021,1,8,4,Home & Garden,East,238.24,3,False,False,False,False
2021-01-08,2021,1,8,4,Home & Garden,West,265.94,3,False,False,False,False
2021-01-08,2021,1,8,4,Sports & Outdoors,North,248.56,4,False,False,False,False
2021-01-08,2021,1,8,4,Sports & Outdoors,South,300.76,4,False,False,False,False
2021-01-08,2021,1,8,4,Sports & Outdoors,East,339.41,4,True,False,False,False
2021-01-08,2021,1,8,4,Sports & Outdoors,West,246.32,3,False,False,False,False
2021-01-08,2021,1,8,4,Books,North,251.03,12,False,False,False,False
2021-01-08,2021,1,8,4,Books,South,324.67,13,False,False,False,False
2021-01-08,2021,1,8,4,Books,East,233.85,10,False,False,False,False
2021-01-08,2021,1,8,4,Books,West,264.78,12,False,False,False,False
2021-01-09,2021,1,9,5,Electronics,North,425.91,0,True,False,True,False
2021-01-09,2021,1,9,5,Electronics,South,372.26,0,False,False,True,False
2021-01-09,2021,1,9,5,Electronics,East,383.77,0,False,False,True,False
2021-01-09,2021,1,9,5,Electronics,West,332.27,0,False,False,True,False
2021-01-09,2021,1,9,5,Clothing,North,300.71,4,False,False,True,False
2021-01-09,2021,1,9,5,Clothing,South,514.71,10,True,False,True,False
2021-01-09,2021,1,9,5,Clothing,East,360.6,8,False,False,True,False
2021-01-09,2021,1,9,5,Clothing,West,352.42,7,False,False,True,False
2021-01-09,2021,1,9,5,Home & Garden,North,338.85,4,False,False,True,False
2021-01-09,2021,1,9,5,Home & Garden,South,468.56,6,True,False,True,False
2021-01-09,2021,1,9,5,Home & Garden,East,354.06,5,False,False,True,False
2021-01-09,2021,1,9,5,Home & Garden,West,367.26,5,False,False,True,False
2021-01-09,2021,1,9,5,Sports & Outdoors,North,319.89,4,False,False,True,False
2021-01-09,2021,1,9,5,Sports & Outdoors,South,388.99,6,False,False,True,False
2021-01-09,2021,1,9,5,Sports & Outdoors,East,347.91,4,False,False,True,False
2021-01-09,2021,1,9,5,Sports & Outdoors,West,373.71,6,False,False,True,False
2021-01-09,2021,1,9,5,Books,North,449.97,24,True,False,True,False
2021-01-09,2021,1,9,5,Books,South,445.17,24,False,False,True,False
2021-01-09,2021,1,9,5,Books,East,375.23,20,False,False,True,False
2021-01-09,2021,1,9,5,Books,West,380.5,21,False,False,True,False
2021-01-10,2021,1,10,6,Electronics,North,315.5,0,False,False,True,False
2021-01-10,2021,1,10,6,Electronics,South,404.33,0,False,False,True,False
2021-01-10,2021,1,10,6,Electronics,East,368.72,0,False,False,True,False
2021-01-10,2021,1,10,6,Electronics,West,444.09,0,True,False,True,False
2021-01-10,2021,1,10,6,Clothing,North,330.26,5,False,False,True,False
2021-01-10,2021,1,10,6,Clothing,South,420.09,9,False,False,True,False
2021-01-10,2021,1,10,6,Clothing,East,383.95,7,False,False,True,False
2021-01-10,2021,1,10,6,Clothing,West,360.8,8,False,False,True,False
2021-01-10,2021,1,10,6,Home & Garden,North,319.75,5,False,False,True,False
2021-01-10,2021,1,10,6,Home & Garden,South,397.86,5,False,False,True,False
2021-01-10,2021,1,10,6,Home & Garden,East,342.93,4,False,False,True,False
2021-01-10,2021,1,10,6,Home & Garden,West,394.96,4,False,False,True,False
2021-01-10,2021,1,10,6,Sports & Outdoors,North,334.64,6,False,False,True,False
2021-01-10,2021,1,10,6,Sports & Outdoors,South,418.53,7,False,False,True,False
2021-01-10,2021,1,10,6,Sports & Outdoors,East,359.24,4,False,False,True,False
2021-01-10,2021,1,10,6,Sports & Outdoors,West,343.33,5,False,False,True,False
2021-01-10,2021,1,10,6,Books,North,361.98,17,False,False,True,False
2021-01-10,2021,1,10,6,Books,South,545.07,23,True,False,True,False
2021-01-10,2021,1,10,6,Books,East,400.32,20,False,False,True,False
2021-01-10,2021,1,10,6,Books,West,381.16,16,False,False,True,False
2021-01-11,2021,1,11,0,Electronics,North,228.95,0,False,False,False,False
2021-01-11,2021,1,11,0,Electronics,South,280.57,0,False,False,False,False
2021-01-11,2021,1,11,0,Electronics,East,250.97,0,False,False,False,False
2021-01-11,2021,1,11,0,Electronics,West,260.0,0,False,False,False,False
2021-01-11,2021,1,11,0,Clothing,North,210.78,4,False,False,False,False
2021-01-11,2021,1,11,0,Clothing,South,268.85,6,False,False,False,False
2021-01-11,2021,1,11,0,Clothing,East,248.94,5,False,False,False,False
2021-01-11,2021,1,11,0,Clothing,West,319.32,6,True,False,False,False
2021-01-11,2021,1,11,0,Home & Garden,North,234.9,2,False,False,False,False
2021-01-11,2021,1,11,0,Home & Garden,South,284.38,3,False,False,False,False
2021-01-11,2021,1,11,0,Home & Garden,East,255.72,2,False,False,False,False
2021-01-11,2021,1,11,0,Home & Garden,West,252.27,2,False,False,False,False
2021-01-11,2021,1,11,0,Sports & Outdoors,North,230.22,4,False,False,False,False
2021-01-11,2021,1,11,0,Sports & Outdoors,South,276.42,4,False,False,False,False
2021-01-11,2021,1,11,0,Sports & Outdoors,East,256.06,3,False,False,False,False
2021-01-11,2021,1,11,0,Sports & Outdoors,West,262.63,5,False,False,False,False
2021-01-11,2021,1,11,0,Books,North,249.78,10,False,False,False,False
2021-01-11,2021,1,11,0,Books,South,314.58,16,False,False,False,False
2021-01-11,2021,1,11,0,Books,East,281.04,14,False,False,False,False
2021-01-11,2021,1,11,0,Books,West,287.69,15,False,False,False,False
2021-01-12,2021,1,12,1,Electronics,North,251.18,0,False,False,False,False
2021-01-12,2021,1,12,1,Electronics,South,277.53,0,False,False,False,False
2021-01-12,2021,1,12,1,Electronics,East,285.9,0,False,False,False,False
2021-01-12,2021,1,12,1,Electronics,West,247.27,0,False,False,False,False
2021-01-12,2021,1,12,1,Clothing,North,254.63,5,True,False,False,False
2021-01-12,2021,1,12,1,Clothing,South,282.44,4,False,False,False,False
2021-01-12,2021,1,12,1,Clothing,East,263.41,4,False,False,False,False
2021-01-12,2021,1,12,1,Clothing,West,283.28,6,False,False,False,False
2021-01-12,2021,1,12,1,Home & Garden,North,215.6,3,False,False,False,False
2021-01-12,2021,1,12,1,Home & Garden,South,294.37,4,False,False,False,False
2021-01-12,2021,1,12,1,Home & Garden,East,299.49,4,True,False,False,False
2021-01-12,2021,1,12,1,Home & Garden,West,280.01,4,False,False,False,False
2021-01-12,2021,1,12,1,Sports & Outdoors,North,240.57,4,False,False,False,False
2021-01-12,2021,1,12,1,Sports & Outdoors,South,282.35,4,False,False,False,False
2021-01-12,2021,1,12,1,Sports & Outdoors,East,236.04,4,False,False,False,False
2021-01-12,2021,1,12,1,Sports & Outdoors,West,344.54,6,True,False,False,False
2021-01-12,2021,1,12,1,Books,North,246.07,11,False,False,False,False
2021-01-12,2021,1,12,1,Books,South,334.48,15,False,False,False,False
2021-01-12,2021,1,12,1,Books,East,281.31,15,False,False,False,False
2021-01-12,2021,1,12,1,Books,West,281.9,16,False,False,False,False
2021-01-13,2021,1,13,2,Electronics,North,222.23,0,False,False,False,False
2021-01-13,2021,1,13,2,Electronics,South,298.36,0,False,False,False,False
2021-01-13,2021,1,13,2,Electronics,East,259.9,0,False,False,False,False
2021-01-13,2021,1,13,2,Electronics,West,264.99,0,False,False,False,False
2021-01-13,2021,1,13,2,Clothing,North,211.05,3,False,False,False,False
2021-01-13,2021,1,13,2,Clothing,South,309.51,6,False,False,False,False
2021-01-13,2021,1,13,2,Clothing,East,279.9,5,False,False,False,False
2021-01-13,2021,1,13,2,Clothing,West,261.25,5,False,False,False,False
2021-01-13,2021,1,13,2,Home & Garden,North,249.55,3,False,False,False,False
2021-01-13,2021,1,13,2,Home & Garden,South,313.21,4,False,False,False,False
2021-01-13,2021,1,13,2,Home & Garden,East,265.38,3,False,False,False,False
2021-01-13,2021,1,13,2,Home & Garden,West,274.68,3,False,False,False,False
2021-01-13,2021,1,13,2,Sports & Outdoors,North,299.81,4,True,False,False,False
2021-01-13,2021,1,13,2,Sports & Outdoors,South,264.42,4,False,False,False,False
2021-01-13,2021,1,13,2,Sports & Outdoors,East,255.37,4,False,False,False,False
2021-01-13,2021,1,13,2,Sports & Outdoors,West,268.14,4,False,False,False,False
2021-01-13,2021,1,13,2,Books,North,335.19,19,True,False,False,False
2021-01-13,2021,1,13,2,Books,South,293.81,17,False,False,False,False
2021-01-13,2021,1,13,2,Books,East,257.78,12,False,False,False,False
2021-01-13,2021,1,13,2,Books,West,280.99,16,False,False,False,False
2021-01-14,2021,1,14,3,Electronics,North,204.37,0,False,False,False,False
2021-01-14,2021,1,14,3,Electronics,South,288.8,0,False,False,False,False
2021-01-14,2021,1,14,3,Electronics,East,263.76,0,False,False,False,False
2021-01-14,2021,1,14,3,Electronics,West,246.84,0,False,False,False,False
2021-01-14,2021,1,14,3,Clothing,North,228.54,4,False,False,False,False
2021-01-14,2021,1,14,3,Clothing,South,305.72,5,False,False,False,False
2021-01-14,2021,1,14,3,Clothing,East,253.61,4,False,False,False,False
2021-01-14,2021,1,14,3,Clothing,West,250.19,4,False,False,False,False
2021-01-14,2021,1,14,3,Home & Garden,North,225.52,2,False,False,False,False
2021-01-14,2021,1,14,3,Home & Garden,South,342.04,4,True,False,False,False
2021-01-14,2021,1,14,3,Home & Garden,East,282.96,3,False,False,False,False
2021-01-14,2021,1,14,3,Home & Garden,West,258.1,3,False,False,False,False
2021-01-14,2021,1,14,3,Sports & Outdoors,North,220.41,4,False,False,False,False
2021-01-14,2021,1,14,3,Sports & Outdoors,South,293.81,5,False,False,False,False
2021-01-14,2021,1,14,3,Sports & Outdoors,East,322.62,6,True,False,False,False
2021-01-14,2021,1,14,3,Sports & Outdoors,West,320.85,5,True,False,False,False
2021-01-14,2021,1,14,3,Books,North,302.31,14,True,False,False,False
2021-01-14,2021,1,14,3,Books,South,307.09,15,False,False,False,False
2021-01-14,2021,1,14,3,Books,East,260.93,12,False,False,False,False
2021-01-14,2021,1,14,3,Books,West,301.61,16,False,False,False,False
2021-01-15,2021,1,15,4,Electronics,North,235.1,0,False,False,False,False
2021-01-15,2021,1,15,4,Electronics,South,295.36,0,False,False,False,False
2021-01-15,2021,1,15,4,Electronics,East,258.01,0,False,False,False,False
2021-01-15,2021,1,15,4,Electronics,West,247.26,0,False,False,False,False
2021-01-15,2021,1,15,4,Clothing,North,221.23,3,False,False,False,False
2021-01-15,2021,1,15,4,Clothing,South,271.83,5,False,False,False,False
2021-01-15,2021,1,15,4,Clothing,East,252.84,4,False,False,False,False
2021-01-15,2021,1,15,4,Clothing,West,308.94,7,True,False,False,False
2021-01-15,2021,1,15,4,Home & Garden,North,246.39,3,False,False,False,False
2021-01-15,2021,1,15,4,Home & Garden,South,301.94,4,False,False,False,False
2021-01-15,2021,1,15,4,Home & Garden,East,324.01,4,True,False,False,False
2021-01-15,2021,1,15,4,Home & Garden,West,247.09,3,False,False,False,False
2021-01-15,2021,1,15,4,Sports & Outdoors,North,217.14,3,False,False,False,False
2021-01-15,2021,1,15,4,Sports & Outdoors,South,288.7,4,False,False,False,False
2021-01-15,2021,1,15,4,Sports & Outdoors,East,272.3,4,False,False,False,False
2021-01-15,2021,1,15,4,Sports & Outdoors,West,285.09,5,False,False,False,False
2021-01-15,2021,1,15,4,Books,North,231.51,9,False,False,False,False
2021-01-15,2021,1,15,4,Books,South,407.14,17,True,False,False,False
2021-01-15,2021,1,15,4,Books,East,342.07,14,True,False,False,False
2021-01-15,2021,1,15,4,Books,West,275.97,12,False,False,False,False
2021-01-16,2021,1,16,5,Electronics,North,321.5,0,False,False,True,False
2021-01-16,2021,1,16,5,Electronics,South,391.24,0,False,False,True,False
2021-01-16,2021,1,16,5,Electronics,East,360.11,0,False,False,True,False
2021-01-16,2021,1,16,5,Electronics,West,347.92,0,False,False,True,False
2021-01-16,2021,1,16,5,Clothing,North,391.92,6,True,False,True,False
2021-01-16,2021,1,16,5,Clothing,South,533.01,11,True,False,True,False
2021-01-16,2021,1,16,5,Clothing,East,368.69,7,False,False,True,False
2021-01-16,2021,1,16,5,Clothing,West,380.65,6,False,False,True,False
2021-01-16,2021,1,16,5,Home & Garden,North,308.24,3,False,False,True,False
2021-01-16,2021,1,16,5,Home & Garden,South,417.32,5,False,False,True,False
2021-01-16,2021,1,16,5,Home & Garden,East,332.79,3,False,False,True,False
2021-01-16,2021,1,16,5,Home & Garden,West,363.15,5,False,False,True,False
2021-01-16,2021,1,16,5,Sports & Outdoors,North,331.75,4,False,False,True,False
2021-01-16,2021,1,16,5,Sports & Outdoors,South,468.96,7,True,False,True,False
2021-01-16,2021,1,16,5,Sports & Outdoors,East,353.41,5,False,False,True,False
2021-01-16,2021,1,16,5,Sports & Outdoors,West,366.19,5,False,False,True,False
2021-01-16,2021,1,16,5,Books,North,366.71,16,False,False,True,False
2021-01-16,2021,1,16,5,Books,South,431.54,23,False,False,True,False
2021-01-16,2021,1,16,5,Books,East,407.26,20,False,False,True,False
2021-01-16,2021,1,16,5,Books,West,425.35,20,False,False,True,False
2021-01-17,2021,1,17,6,Electronics,North,330.82,0,False,False,True,False
2021-01-17,2021,1,17,6,Electronics,South,405.07,0,False,False,True,False
2021-01-17,2021,1,17,6,Electronics,East,372.16,0,False,False,True,False
2021-01-17,2021,1,17,6,Electronics,West,354.35,0,False,False,True,False
2021-01-17,2021,1,17,6,Clothing,North,406.48,8,True,False,True,False
2021-01-17,2021,1,17,6,Clothing,South,408.88,9,False,False,True,False
2021-01-17,2021,1,17,6,Clothing,East,374.15,6,False,False,True,False
2021-01-17,2021,1,17,6,Clothing,West,360.36,6,False,False,True,False
2021-01-17,2021,1,17,6,Home & Garden,North,325.79,4,False,False,True,False
2021-01-17,2021,1,17,6,Home & Garden,South,398.07,5,False,False,True,False
2021-01-17,2021,1,17,6,Home & Garden,East,378.87,4,False,False,True,False
2021-01-17,2021,1,17,6,Home & Garden,West,357.14,5,False,False,True,False
2021-01-17,2021,1,17,6,Sports & Outdoors,North,289.49,4,False,False,True,False
2021-01-17,2021,1,17,6,Sports & Outdoors,South,486.96,7,True,False,True,False
2021-01-17,2021,1,17,6,Sports & Outdoors,East,366.63,5,False,False,True,False
2021-01-17,2021,1,17,6,Sports & Outdoors,West,397.0,7,False,False,True,False
2021-01-17,2021,1,17,6,Books,North,364.31,21,False,False,True,False
2021-01-17,2021,1,17,6,Books,South,395.98,20,False,False,True,False
2021-01-17,2021,1,17,6,Books,East,368.11,15,False,False,True,False
2021-01-17,2021,1,17,6,Books,West,420.23,23,False,False,True,False
2021-01-18,2021,1,18,0,Electronics,North,237.53,0,False,False,False,False
2021-01-18,2021,1,18,0,Electronics,South,326.31,0,False,False,False,False
2021-01-18,2021,1,18,0,Electronics,East,319.55,0,True,False,False,False
2021-01-18,2021,1,18,0,Electronics,West,250.53,0,False,False,False,False
2021-01-18,2021,1,18,0,Clothing,North,232.77,5,False,False,False,False
2021-01-18,2021,1,18,0,Clothing,South,288.15,6,False,False,False,False
2021-01-18,2021,1,18,0,Clothing,East,277.25,4,False,False,False,False
2021-01-18,2021,1,18,0,Clothing,West,256.85,5,False,False,False,False
2021-01-18,2021,1,18,0,Home & Garden,North,225.61,3,False,False,False,False
2021-01-18,2021,1,18,0,Home & Garden,South,276.83,3,False,False,False,False
2021-01-18,2021,1,18,0,Home & Garden,East,269.72,3,False,False,False,False
2021-01-18,2021,1,18,0,Home & Garden,West,247.9,3,False,False,False,False
2021-01-18,2021,1,18,0,Sports & Outdoors,North,235.62,3,False,False,False,False
2021-01-18,2021,1,18,0,Sports & Outdoors,South,401.73,6,True,False,False,False
2021-01-18,2021,1,18,0,Sports & Outdoors,East,239.0,3,False,False,False,False
2021-01-18,2021,1,18,0,Sports & Outdoors,West,281.95,5,False,False,False,False
2021-01-18,2021,1,18,0,Books,North,253.83,12,False,False,False,False
2021-01-18,2021,1,18,0,Books,South,300.67,15,False,False,False,False
2021-01-18,2021,1,18,0,Books,East,357.53,19,True,False,False,False
2021-01-18,2021,1,18,0,Books,West,294.79,17,False,False,False,False
2021-01-19,2021,1,19,1,Electronics,North,221.7,0,False,False,False,False
2021-01-19,2021,1,19,1,Electronics,South,300.7,0,False,False,False,False
2021-01-19,2021,1,19,1,Electronics,East,283.2,0,False,False,False,False
2021-01-19,2021,1,19,1,Electronics,West,255.6,0,False,False,False,False
2021-01-19,2021,1,19,1,Clothing,North,221.1,5,False,False,False,False
